314.93,26.75,27.75,29.50,29.00,28.25,22.25
317.26,27.25,28.25,30.00,29.50,28.75,22.25
318.84,28.00,29.00,30.75,30.25,29.50,22.25
321.16,28.75,29.75,31.50,31.00,30.25,22.19
323.49,29.25,30.25,32.00,31.50,30.75,22.25
325.08,30.00,31.00,32.75,32.25,31.50,22.19
327.55,30.25,31.50,33.25,32.75,31.94,22.25
329.10,31.00,32.00,34.00,33.50,32.62,22.25
331.49,31.75,32.75,34.50,34.00,33.25,22.25
333.04,32.25,33.50,35.25,34.50,33.88,22.25
335.39,32.75,33.75,35.75,35.00,34.31,22.25
336.98,33.75,34.50,36.50,36.00,35.19,22.25
339.35,34.00,35.00,36.75,36.50,35.56,22.31
340.93,35.00,35.75,37.50,37.00,36.31,22.25
343.48,35.25,36.25,38.00,37.50,36.75,22.31
345.04,36.00,37.00,38.75,38.00,37.44,22.31
347.42,36.50,37.25,39.25,38.75,37.94,22.25
349.06,37.25,38.00,39.75,39.50,38.62,22.25
351.44,37.50,38.50,40.25,39.75,39.00,22.31
